A2M,Endoneurial
ABLIM1,
ADAMTS5,Epineurial
AEBP1,Peripheral nerve associated fibroblast 
ANGPT1,
ANTXR1,
APOD,Peripheral nerve associated fibroblast 
,
BGN,Mesenchymal neural crest
BMP4,Epineurial
BMP7,Endoneurial
C3,Peripheral nerve associated fibroblast 
CARMIL1,
,
CLEC3B,Peripheral nerve associated fibroblast 
CLU,
COL11A1,Endoneurial
,
COL5A1,
,
CRISPLD2,Epineurial
CTNND2,
DAPK1,
DPT,Epineurial
EFEMP1,
ETV1,Endoneurial precursor 
F3,
Fabp7,Neural progenitor
FBLN7,Epineurial
,
FN1,Peripheral nerve associated fibroblast 
,
GSN,Peripheral nerve associated fibroblast 
,
,
,
,
LTBP1,
,
MFGE8,
,
,
,
,
,
NGFR,PNS neural crest-derived stem cells 
NHSL1,
NTRK2,
OSR2,Endoneurial precursor 
PALM,
PI16,Peripheral nerve associated fibroblast 
,
,
REV3L,
RORA,
SDC2,
,
,
SOX5,Endoneurial precursor 
SOX6,Endoneurial precursor 
SOX8,Endoneurial precursor 
SOX9,Endoneurial precursor 
,
TGFB2,
THY1,Endoneurial
TIAM1,Peripheral nerve associated fibroblast 
,
USP54,Peripheral nerve associated fibroblast 
USP54,Endoneurial
VAT1L,
WWC1,
ZFHX4,
ZNRF3,
